Time	U1	Uc1	I2	U2
0.011100	8.900000	8.995277	0.001081	0.230538
0.011200	8.800000	8.988151	0.001077	0.234689
0.011300	8.700000	8.975010	0.001072	0.238821
0.011400	8.600000	8.956240	0.001065	0.242931
0.011500	8.500000	8.932204	0.001059	0.247016
0.011600	8.400000	8.903240	0.001051	0.251073
0.011700	8.300000	8.869666	0.001043	0.255099
0.011800	8.200000	8.831779	0.001034	0.259092
0.011900	8.100000	8.789855	0.001024	0.263050
0.012000	8.000000	8.744156	0.001014	0.266970
0.012100	7.900000	8.694923	0.001004	0.270851
0.012200	7.800000	8.642385	0.000993	0.274690
0.012300	7.700000	8.586754	0.000981	0.278486
0.012400	7.600000	8.528229	0.000969	0.282236
0.012500	7.500000	8.466996	0.000957	0.285940
0.012600	7.400000	8.403230	0.000944	0.289596
0.012700	7.300000	8.337093	0.000931	0.293202
0.012800	7.200000	8.268738	0.000918	0.296757
0.012900	7.100000	8.198308	0.000904	0.300260
0.013000	7.000000	8.125937	0.000890	0.303710
0.013100	6.900000	8.051749	0.000876	0.307105
0.013200	6.800000	7.975861	0.000861	0.310445
0.013300	6.700000	7.898383	0.000846	0.313728
0.013400	6.600000	7.819416	0.000831	0.316954
0.013500	6.500000	7.739058	0.000816	0.320121
0.013600	6.400000	7.657396	0.000801	0.323230
0.013700	6.300000	7.574516	0.000785	0.326279
0.013800	6.200000	7.490495	0.000769	0.329267
0.013900	6.100000	7.405407	0.000753	0.332194
0.014000	6.000000	7.319320	0.000737	0.335060
0.014100	5.900000	7.232299	0.000721	0.337863
0.014200	5.800000	7.144404	0.000704	0.340602
0.014300	5.700000	7.055691	0.000688	0.343279
0.014400	5.600000	6.966212	0.000671	0.345891
0.014500	5.500000	6.876018	0.000654	0.348439
0.014600	5.400000	6.785154	0.000637	0.350923
0.014700	5.300000	6.693662	0.000620	0.353340
0.014800	5.200000	6.601584	0.000603	0.355693
0.014900	5.100000	6.508957	0.000586	0.357979
0.015000	5.000000	6.415817	0.000568	0.360198
0.015100	4.900000	6.322196	0.000551	0.362351
0.015200	4.800000	6.228125	0.000534	0.364438
0.015300	4.700000	6.133634	0.000516	0.366456
0.015400	4.600000	6.038749	0.000499	0.368408
0.015500	4.500000	5.943495	0.000481	0.370291
0.015600	4.400000	5.847897	0.000463	0.372107
0.015700	4.300000	5.751977	0.000445	0.373854
0.015800	4.200000	5.655755	0.000428	0.375533
0.015900	4.100000	5.559250	0.000410	0.377143
0.016000	4.000000	5.462481	0.000392	0.378685
0.016100	3.900000	5.365465	0.000374	0.380157
0.016200	3.800000	5.268218	0.000356	0.381561
0.016300	3.700000	5.170755	0.000338	0.382895
0.016400	3.600000	5.073089	0.000320	0.384160
0.016500	3.500000	4.975233	0.000302	0.385356
0.016600	3.400000	4.877201	0.000284	0.386482
0.016700	3.300000	4.779002	0.000266	0.387538
0.016800	3.200000	4.680648	0.000247	0.388525
0.016900	3.100000	4.582149	0.000229	0.389441
0.017000	3.000000	4.483515	0.000211	0.390288
0.017100	2.900000	4.384753	0.000193	0.391065
